Deployment,Enumerator,Status,Response Code,Drafted On,Submitted On,Approval Level,IP Address,cds_mwaterid,cds_type,cds_sanreg,cds_sanarea,cds_sanarea (other) - specify,contact - 1 - name,contact - 1 - title,contact - 1 - orng,contact - 1 - mtn,contact - 2 - name,contact - 2 - title,contact - 2 - orng,contact - 2 - mtn,survey_date,trans - bike - total,trans - bike - func,trans - bike - project,trans - car - total,trans - car - func,trans - car - project,trans - moto - total,trans - moto - func,trans - moto - project,trans - tuktuk - total,trans - tuktuk - func,trans - tuktuk - project,trans - ambul - total,trans - ambul - func,trans - ambul - project,generalstate,const_year,const_year (Don't Know),rehab - elec - year,rehab - elec - org,rehab - elec - org_other,rehab - bhole - year,rehab - bhole - org,rehab - bhole - org_other,rehab - pump - year,rehab - pump - org,rehab - pump - org_other,rehab - wtank - year,rehab - wtank - org,rehab - wtank - org_other,rehab - wsystem - year,rehab - wsystem - org,rehab - wsystem - org_other,rehab - incin - year,rehab - incin - org,rehab - incin - org_other,rehab - toilet - year,rehab - toilet - org,rehab - toilet - org_other,rehab - struct - year,rehab - struct - org,rehab - struct - org_other,rehab - roof - year,rehab - roof - org,rehab - roof - org_other,rehab - paint_ext - year,rehab - paint_ext - org,rehab - paint_ext - org_other,rehab - paint_int - year,rehab - paint_int - org,rehab - paint_int - org_other,rehab - res - year,rehab - res - org,rehab - res - org_other,room - wait - num,room - cons - num,room - mat - num,room - lab - num,room - stor - num,roof_type,roof_type (other) - specify,fence,cond - floor - state,cond - floor - needs,cond - wall - state,cond - wall - needs,cond - roof - state,cond - roof - needs,cond - door - state,cond - door - needs,cond - ceil - state,cond - ceil - needs,staffres,staffres_num,staffres_cond - floor - state,staffres_cond - floor - needs,staffres_cond - wall - state,staffres_cond - wall - needs,staffres_cond - roof - state,staffres_cond - roof - needs,staffres_cond - door - state,staffres_cond - door - needs,staffres_cond - ceil - state,staffres_cond - ceil - needs,staffres - water - pipewire,staffres - water - pipewire_func,staffres - water - taps_total,staffres - water - taps_func,staffres - elec - pipewire,staffres - elec - pipewire_func,staffres - elec - taps_total,staffres - elec - taps_func,energy_sys,energy_primsource,energy_source_backup,solar - panel - installed,solar - panel - num,solar - panel - cap,solar - batt - installed,solar - batt - num,solar - batt - cap,energy_light_total,energy_light_func,infra_pics
Data Upload from old survey,kingsley.chris,Final,Fredrik Asplund-6T99YZ,2020-03-16 12:14:17,2018-08-03 14:27:42,,154.73.62.98,4703235,Health Centre Type B,SAB,Bandim,,,,955315361,,,,,,2016-03-29,2,2,,0,0,,2,1,,0,0,,,,,Reasonable,1993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1,1,1,0,,,Yes,Good,,Reasonable,,Reasonable,,Reasonable,,Reasonable,,No,,,,,,,,,,,,,,,,,,,,Yes,Grid,None,,,,,,,42,42,https://api.mwater.co/v3/images/ef3ce14e15084e32be4f476979778487; https://api.mwater.co/v3/images/6dac921152274f30b40fd99aed0d223e; https://api.mwater.co/v3/images/df486b36224e4ec29432c684a1cd171e; https://api.mwater.co/v3/images/9cf2c6118d674ba1857009e3be9692ae; https://api.mwater.co/v3/images/02bb70c177934b0085804a822613d41d
Data Upload from old survey,kingsley.chris,Final,Fredrik Asplund-6T99YZ,2020-03-16 12:14:17,2018-08-03 14:27:42,,154.73.62.98,4703211,Health Centre Type C,Gabu,Bajocunda,,,,966645242,966701371,,,,,2016-03-29,0,0,,0,0,,1,1,,1,1,,,,,Good,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,1,1,0,,,No,Good,,Good,,Good,,Good,,Good,,No,,,,,,,,,,,,,,,,,,,,Yes,Solar,None,,,,,,,12,12,
Data Upload from old survey,kingsley.chris,Final,Fredrik Asplund-6T99YZ,2020-03-16 12:14:17,2018-08-03 14:27:42,,154.73.62.98,4703606,Regional Hospital,Cacheu,Canchungo,,,,955116751,,,,,,2016-03-29,0,0,,0,0,,0,0,,0,0,,,,,Good,1982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,4,1,1,1,,,Yes,Good,,Good,,Good,,Good,,Good,,Yes,1,Good,,Good,,Good,,Good,,Good,,Yes,Yes,,,Yes,Yes,,,Yes,Solar,Generator,,,,,,,0,,https://api.mwater.co/v3/images/61508ec0986644a88e1dcf9598ddbb04; https://api.mwater.co/v3/images/aec67a17d5054dc3b5c739431c1fbd98; https://api.mwater.co/v3/images/0cba2e0f5cb54b2c8bcc7cc460f44367; https://api.mwater.co/v3/images/f099020e02fd4d8eb479f5994666f649; https://api.mwater.co/v3/images/74fe908a359c425ba3bf1960bc9198b0
Data Upload from old survey,kingsley.chris,Final,Fredrik Asplund-6T99YZ,2020-03-16 12:14:17,2018-08-03 14:27:42,,154.73.62.98,86688671,Health Centre Type C,Bafata,Ga-Gamamudo,,,,966918133,955351355,,,,,2016-03-29,0,0,,0,0,,2,1,,1,1,,,,,Good,1983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,1,1,,,No,Good,,Good,,Good,,Good,,Good,,Yes,4,Good,,Good,,Good,,Reasonable,,Good,,No,No,,,No,No,,,Yes,Solar,None,,,,,,,4,4,https://api.mwater.co/v3/images/34732dc2c6ae4c07b3485b9bfbf3c720
Data Upload from old survey,kingsley.chris,Final,Fredrik Asplund-6T99YZ,2020-03-16 12:14:17,2018-08-03 14:27:42,,154.73.62.98,4704267,Health Centre Type C,Tombali,Timbo,,,,966724431,,,,,,2016-03-29,4,4,,0,0,,1,1,,0,0,,,,,Poor,1981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,1,1,1,,,No,Bad,,Bad,,Bad,,Bad,,Bad,,Yes,4,Bad,,Bad,,Bad,,Bad,,Reasonable,,No,No,,,No,No,,,No,,,,,,,,,,,
Data Upload from old survey,kingsley.chris,Final,Fredrik Asplund-6T99YZ,2020-03-16 12:14:17,2018-08-03 14:27:42,,154.73.62.98,4704133,Health Centre Type C,Biombo,Prabis,,,,955596427,,,,,,2016-03-29,0,0,,1,1,,1,0,,0,0,,,,,Good,1991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,,Yes,Good,,Good,,Good,,Good,,Good,,Yes,1,Good,,Good,,Good,,Good,,Good,,,,,,Yes,No,,,"Yes, but it does not work",Solar,None,,,,,,,12,6,
Data Upload from old survey,kingsley.chris,Final,Fredrik Asplund-6T99YZ,2020-03-16 12:14:17,2018-08-03 14:27:42,,154.73.62.98,4703792,Health Centre Type B,Quinara,Fulacunda,,,,955830581,,,,,,2016-03-29,0,0,,1,1,,2,1,,1,1,,,,,Good,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,1,1,1,,,Yes,Good,,Good,,Good,,Good,,Good,,Yes,1,,,,,,,,,,,,,,,Yes,Yes,,,Yes,Solar,None,,,,,,,13,13,
Data Upload from old survey,kingsley.chris,Final,Fredrik Asplund-6T99YZ,2020-03-16 12:14:17,2018-08-03 14:27:42,,154.73.62.98,4704432,Health Centre Type C,Quinara,Buba,,,,,,,,,,2016-03-29,0,0,,0,0,,0,0,,0,0,,,,,Poor,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,No,Bad,,Bad,,Bad,,Bad,,Bad,,No,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,
Data Upload from old survey,kingsley.chris,Final,Fredrik Asplund-6T99YZ,2020-03-16 12:14:17,2018-08-03 14:27:42,,154.73.62.98,4704425,Health Centre Type B,Quinara,Empada,,,,966113918,955103350,,,,,2016-03-29,0,0,,1,1,,2,1,,1,1,,,,,Reasonable,1980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,1,1,1,,,Yes,Reasonable,,Reasonable,,Reasonable,,Reasonable,,,,Yes,2,Good,,Good,,Reasonable,,Good,,Good,,,,,,Yes,No,,,Yes,Solar,None,,,,,,,10,5,
Data Upload from old survey,kingsley.chris,Final,Fredrik Asplund-6T99YZ,2020-03-16 12:14:17,2018-08-03 14:27:42,,154.73.62.98,4704054,Health Centre Type C,Oio,Mores,,,,966643243,,,,,,2016-03-29,0,0,,0,0,,1,0,,0,0,,,,,Reasonable,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,1,0,1,,,No,Good,,Good,,Reasonable,,Good,,Bad,,No,,,,,,,,,,,,,,,,,,,,Yes,Solar,None,,,,,,,13,13,https://api.mwater.co/v3/images/c015fa73534142a889ac0639cb9a3d7d; https://api.mwater.co/v3/images/64dd2ae2660c4adcab8d10c15cff09c0; https://api.mwater.co/v3/images/8a7cd93470ef42f5bbaada5d53df4adb; https://api.mwater.co/v3/images/3ce767c9e88840dfa591fa37f2ac333d; https://api.mwater.co/v3/images/7dcbd1fc2705485ca4e93656d53427d9; https://api.mwater.co/v3/images/1608ec7031b84f9f9bdc760e0f3a915a
Data Upload from old survey,kingsley.chris,Final,Fredrik Asplund-6T99YZ,2020-03-16 12:14:17,2018-08-03 14:27:42,,154.73.62.98,4704092,Health Centre Type C,Gabu,Paunca,,,,955507093,,,,,,2016-03-29,0,0,,0,0,,1,1,,1,1,,,,,Good,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,1,0,1,,,No,Good,,Good,,Good,,Good,,Good,,Yes,1,Good,,Good,,Good,,Good,,Good,,Yes,Yes,,,Yes,Yes,,,Yes,Solar,None,,,,,,,23,23,
Data Upload from old survey,kingsley.chris,Final,Fredrik Asplund-6T99YZ,2020-03-16 12:14:17,2018-08-03 14:27:42,,154.73.62.98,436023,Health Centre Type C,Bijagos,Orango Grande,,,,966620632,,,,,,2016-03-29,0,0,,0,0,,1,1,,1,1,,,,,Reasonable,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,0,1,,,No,Good,,Good,,Reasonable,,Good,,Good,,Yes,2,Good,,Good,,Good,,Good,,Good,,No,No,,,Yes,Yes,,,Yes,Solar,None,,,,,,,5,5,https://api.mwater.co/v3/images/f49f7f8f8f9543d4a48a877599ffa49e; https://api.mwater.co/v3/images/a4b9f79ffabc4ceab82cde8ab271f756; https://api.mwater.co/v3/images/709a7ac0e832421982853c060399f5ba; https://api.mwater.co/v3/images/5efd94e3caf5479cbb93640db485b699; https://api.mwater.co/v3/images/83d3220369834e19bafcd80e831efc1a
Data Upload from old survey,kingsley.chris,Final,Fredrik Asplund-6T99YZ,2020-03-16 12:14:17,2018-08-03 14:27:42,,154.73.62.98,4703895,Health Centre Type C,Quinara,Dar-Es-Salam,,,,966794170,,,,,,2016-03-29,0,0,,0,0,,2,1,,0,0,,,,,Poor,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,0,,,No,Good,,Bad,,Bad,,Good,,Bad,,No,,,,,,,,,,,,,,,,,,,,Yes,Solar,None,,,,,,,5,5,https://api.mwater.co/v3/images/4be081883b5c4d75848cc4e0dbfb747e
Data Upload from old survey,kingsley.chris,Final,Fredrik Asplund-6T99YZ,2020-03-16 12:14:17,2018-08-03 14:27:42,,154.73.62.98,4704360,Maternal/Child Health Clinic,Gabu,Gabu,,,,955935097,,,,,,2016-03-29,0,0,,0,0,,0,0,,0,0,,,,,Good,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3,0,1,1,,,No,Good,,Good,,Good,,Good,,Good,,No,,,,,,,,,,,,,,,,,,,,"Yes, but it does not work",,None,,,,,,,0,,
Data Upload from old survey,kingsley.chris,Final,Fredrik Asplund-6T99YZ,2020-03-16 12:14:17,2018-08-03 14:27:42,,154.73.62.98,4703558,Health Centre Type C,Tombali,Calaque,,,,,,,,,,2016-03-29,0,0,,0,0,,0,0,,0,0,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
Data Upload from old survey,kingsley.chris,Final,Fredrik Asplund-6T99YZ,2020-03-16 12:14:17,2018-08-03 14:27:42,,154.73.62.98,4703510,Health Centre Type C,Bafata,Tendinto,,,,966471697,,,,,,2016-03-29,0,0,,1,0,,1,1,,1,1,,,,,Reasonable,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,1,1,1,,,No,Good,,Good,,Reasonable,,Good,,Bad,,Yes,4,Good,,Good,,Reasonable,,Good,,Bad,,No,No,,,No,No,,,No,,,,,,,,,,,https://api.mwater.co/v3/images/f0abb8cddbb849218f4052f12503a571; https://api.mwater.co/v3/images/e8db906a3d83416f897052c771b119f8; https://api.mwater.co/v3/images/fab843d4aa0c43219d095ec4a063a2c4; https://api.mwater.co/v3/images/9c1c8991e33e4c0c8d40cd3a67260c56; https://api.mwater.co/v3/images/920abdd4e8ac47c0bc5ae67e5bba31f7; https://api.mwater.co/v3/images/60d42d5a81364923a76be516bf8d7955; https://api.mwater.co/v3/images/c22f65edd01d4926a5e7ff332c482a14
Data Upload from old survey,kingsley.chris,Final,Fredrik Asplund-6T99YZ,2020-03-16 12:14:17,2018-08-03 14:27:42,,154.73.62.98,4703596,Health Centre Type C,Bafata,Cambadju,,,,966918267,,,,,,2016-03-29,0,0,,1,1,,1,1,,0,0,,,,,Reasonable,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,0,1,,,No,Good,,Reasonable,,Reasonable,,Bad,,Reasonable,,Yes,1,Good,,Good,,Good,,Good,,Good,,Yes,Yes,,,Yes,No,,,"Yes, but it does not work",Solar,None,,,,,,,3,1,https://api.mwater.co/v3/images/a387b04c44574f8c9f95877586d34bea; https://api.mwater.co/v3/images/ab3d302bf418439381daa00337383cae; https://api.mwater.co/v3/images/7e36d5129c5b4f72977f63259b087d20; https://api.mwater.co/v3/images/6098b7f745cb4d579f55f654f9b8c8d2; https://api.mwater.co/v3/images/949a4430f8774f659bcbd4559be9cdc1; https://api.mwater.co/v3/images/f4d03ca1676245a58867d73cc96bc3aa; https://api.mwater.co/v3/images/c1631c11104f4a3f94a792b8dbdd9dcf; https://api.mwater.co/v3/images/7df016a875814a0fa03b80be49c659e8; https://api.mwater.co/v3/images/b7222943e81949bb8e828688a1ad3027
Data Upload from old survey,kingsley.chris,Final,Fredrik Asplund-6T99YZ,2020-03-16 12:14:17,2018-08-03 14:27:42,,154.73.62.98,4703541,Health Centre Type B,Tombali,Cacine,,,,955529034,,,,,,2016-03-29,0,0,,0,0,,0,0,,0,0,,,,,Good,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,No,Good,,Good,,Good,,Good,,Good,,Yes,2,Good,,Reasonable,,Reasonable,,Reasonable,,Reasonable,,No,No,,,Yes,Yes,,,Yes,Solar,None,,,,,,,71,71,
Data Upload from old survey,kingsley.chris,Final,Fredrik Asplund-6T99YZ,2020-03-16 12:14:17,2018-08-03 14:27:42,,154.73.62.98,4703493,Health Centre Type A,Bijagos,Bubaque,,,,955327815,,,,,,2016-03-29,0,0,,1,1,,5,1,,1,1,,,,,Poor,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,1,1,1,,,Yes,Reasonable,,Reasonable,,Reasonable,,Reasonable,,Bad,,Yes,7,,,,,,,,,,,,,,,Yes,,,,Yes,,,,,,,,,,,
Data Upload from old survey,kingsley.chris,Final,Fredrik Asplund-6T99YZ,2020-03-16 12:14:17,2018-08-03 14:27:42,,154.73.62.98,4703943,Health Centre Type B,SAB,Luanda,,,,955913433,,,,,,2016-03-29,2,2,,0,0,,1,1,,0,0,,,,,Good,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,1,1,0,,,Yes,Good,,Good,,Good,,Good,,Reasonable,,No,,,,,,,,,,,,,,,,,,,,Yes,Grid,None,,,,,,,42,10,
Data Upload from old survey,kingsley.chris,Final,Fredrik Asplund-6T99YZ,2020-03-16 12:14:17,2018-08-03 14:27:42,,154.73.62.98,4703486,Health Centre Type B,Quinara,Buba,,,,955953521,,,,,,2016-03-29,0,0,,0,0,,4,1,,1,1,,,,,Good,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,1,2,0,,,Yes,Good,,Good,,Good,,Good,,Good,,Yes,6,Good,,Good,,Good,,Good,,Good,,No,No,,,,No,,,"Yes, but it does not work",Solar,Generator,,,,,,,7,0,https://api.mwater.co/v3/images/130bed6602bb41648f886e68fd090199; https://api.mwater.co/v3/images/3701ac372aeb4cdf9db5ef3c2d10538f; https://api.mwater.co/v3/images/498c8972ac964590979ba9215d542ede; https://api.mwater.co/v3/images/e45a2f0e230d4889ace146dceaf29962
Data Upload from old survey,kingsley.chris,Final,Fredrik Asplund-6T99YZ,2020-03-16 12:14:17,2018-08-03 14:27:42,,154.73.62.98,4703259,Health Centre Type C,Cacheu,Bara,,,,966028781,955265383,,,,,2016-03-29,0,0,,0,0,,1,0,,0,0,,,,,Good,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,1,1,1,,,No,Good,,Good,,Good,,Good,,Good,,Yes,4,Good,,Good,,Good,,Reasonable,,Good,,,,,,Yes,No,,,No,,,,,,,,,,,
Data Upload from old survey,kingsley.chris,Final,Fredrik Asplund-6T99YZ,2020-03-16 12:14:17,2018-08-03 14:27:42,,154.73.62.98,4704085,Health Centre Type C,Biombo,Ondame,,,,966776649,,,,,,2016-03-29,0,0,,0,0,,1,1,,0,0,,,,,Reasonable,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,0,1,,,No,Good,,Good,,Reasonable,,Reasonable,,Good,,Yes,1,Reasonable,,Good,,Good,,Reasonable,,Good,,,,,,Yes,Yes,,,Yes,Solar,None,,,,,,,8,8,
