jmp_hyg_svclvl,jmp_hyg_avail,jmp_hyg_soap,jmp_waste_svclvl,jmp_waste_3bins,jmp_waste_sharps,jmp_waste_inf,jmp_wat_svclvl,jmp_wat_imp,jmp_wat_none,jmp_wat_dist,enum,status,rcode,hcf_mwaterid,hcf_type,reg_san,area_san,area_san_other,cont1_name,cont1_title,cont1_orng,cont1_mtn,cont2_name,cont2_title,cont2_orng,cont2_mtn,survey_date,staff_docs_all,Staffing of the health facility: Doctors - Number of male staff,Staffing of the health facility: Doctors - Number of female staff,Staffing of the health facility: Nurses - Total number of staff,Staffing of the health facility: Nurses - Number of male staff,Staffing of the health facility: Nurses - Number of female staff,Staffing of the health facility: Midwives - Total number of staff,Staffing of the health facility: Midwives - Number of male staff,Staffing of the health facility: Midwives - Number of female staff,Staffing of the health facility: Lab technicians - Total number of staff,Staffing of the health facility: Lab technicians - Number of male staff,Staffing of the health facility: Lab technicians - Number of female staff,Staffing of the health facility: Pharmacists - Total number of staff,Staffing of the health facility: Pharmacists - Number of male staff,Staffing of the health facility: Pharmacists - Number of female staff,Staffing of the health facility: Service staff - Total number of staff,Staffing of the health facility: Service staff - Number of male staff,Staffing of the health facility: Service staff - Number of female staff,Staffing of the health facility: Drivers - Total number of staff,Staffing of the health facility: Drivers - Number of male staff,Staffing of the health facility: Drivers - Number of female staff,Staffing of the health facility: Guards - Total number of staff,Staffing of the health facility: Guards - Number of male staff,Staffing of the health facility: Guards - Number of female staff,wp_mwaterid,wp_jmptype,watsys_exists,watsys_type,watsys_tank_cap,watsys_tank_type,wp_dist,water_available_today,watsys_taps,watsys_taps_total,watsys_taps_func,toilet_outpat,How many toilets are available for patients? ,How many toilets are available for patients?  (Asked),How many patient toilets are working? ,How many patient toilets are working?  (Asked),Are the patient toilets clean?,Are the patient toilets clean? (Asked),Is there a registry of cleaning at the patients toilet?,Is there a registry of cleaning at the patients toilet? (Asked),Are the patient toilets smelling?,Are the patient toilets smelling? (Asked),Are there flies in the patient toilets?,Are there flies in the patient toilets? (Asked),Are the patient toilets lit during the night?,Are the patient toilets lit during the night? (Asked),toilet_staff,How many toilets of any kind are available exclusively for staff? ,How many toilets of any kind are available exclusively for staff?  (Asked),How many staff toilets are working? ,How many staff toilets are working?  (Asked),toilet_mhm,"Is there at least one usable improved toilet designated for women and girls, which provides facilities to manage menstrual hygiene needs? (Asked)",toilet_hcap,Is there at least one usable improved toilet that meets the needs of people with reduced mobility? (Asked),Please take some photos of the latrines,handw_today_poc,handw_today_toilet,How many consultation rooms have a handwashing basin?,How many consultation rooms have a handwashing basin that works?,How many consultation rooms have a handwashing basin that works? (Asked),waste_3bins,waste_sharps,waste_infect,Is there an inicnerator at the center?,Is there an inicnerator at the center? (Other (please specify)) - specify,Please take a photo of the incinerator,Are cleaning protocols available?,Have all staff responsible for cleaning received training? ,Health facility > Unique ID,Community > Unique ID,Hygiene service level for health facility,Functional hand hygiene stations available at the selected point of care ,Handwashing facilities with soap and water available at toilets ,Health facility > Unique ID,Community > Unique ID,Healthcare waste service level for health facility,Is waste safely segregated into at least three labelled bins in the consultation area? ,Sharps waste disposal,How does this facility usually treat / dispose of infectious waste? ,Health facility > Unique ID,Sanitation facility > Unique ID,Community > Unique ID,jmp_san_svclvl,jmp_san_usable,jmp_san_mhm,jmp_san_staff,jmp_san_hcap,jmp_cln_svclvl,jmp_cln_prot,jmp_cln_staff,hcf_name,submitted_date,lat,lon
Limited,No,Yes,Limited,,Unsafe,Unsafe,Basic,Improved,,Water is available on premises,kingsley.chris,Final,Fredrik Asplund-6T99YZ081,4703352,Health Centre Type B,Oio,Bissora,,,,955837792,,,,,,2016-03-29,1,,,8,,,1,,,2,,,,,,3,,,,,,0,,,,Tubewell / borehole,"Yes, and it works",Solar pump from own waterpoint,10,PVC,On premises,"Yes, observed","Yes, water comes from at least one tap",20,8,"No, improved toilets are present but not usable",5,True,0,True,Yes,True,,True,No,True,No,True,Yes,True,Yes,4,True,4,True,"No, there are no female-only toilets",True,No,True,,"No, hand hygiene stations are available but not functional, or lacking materials",Yes,0,,False,Bins are present but don't meet all requirements,Open burning,Open burning,No,,,No,,4703352,,Limited,No,Yes,4703352,,Limited,,Unsafe,Unsafe,4703352,,,Limited,No,No,Yes,No,,No,,Bissora,2018-08-03 14:27:42,12.223611,-15.447222
Limited,,Yes,,,,,,Improved,,,kingsley.chris,Final,Fredrik Asplund-6T99YZ049,436171,Health Centre Type C,SAB,Ajuda,,,,,,,,,,2016-03-29,1,,,11,,,5,,,2,,,,,,2,,,,,,1,,,,Piped water inside Health Center,"Yes, but it does not work",Directly from grid,0,No Reservoir,,No ,"No, the tap inside does not give water",10,,"Yes, at least one usable improved toilet",2,True,2,True,No,True,Yes,True,No,True,No,True,Yes,True,Yes,1,True,1,True,,True,,True,,,Yes,2,0,True,,,,"Yes, but not working",,,No,,436171,,Limited,,Yes,436171,,,,,,436171,,,,Yes,,Yes,,,No,,Ajuda,2018-08-03 14:27:42,11.85942,-15.61339
,,No,,,,,,Improved,,,kingsley.chris,Final,Fredrik Asplund-6T99YZ047,435974,Health Centre Type C,Bijagos,Uracane,,,,966654661,,,,,,2016-03-29,0,,,3,,,0,,,0,,,,,,1,,,,,,0,,,888761,Protected dug well,"Yes, but it does not work",Electrical pump (Grid/generator) from own waterpoint,1,Cement,,No ,"No, the tap inside does not give water",6,,"Yes, at least one usable improved toilet",1,True,1,True,Yes,True,No,True,No,True,No,True,No,True,No,,False,,False,,True,,True,https://api.mwater.co/v3/images/8fcf7cc21d91416e93ced7ac32e0ce9f,,"No, no handwashing facilities are available",0,,False,,,,No,,https://api.mwater.co/v3/images/6d77f05668ec47f694dd12a1e9f0824b; https://api.mwater.co/v3/images/a203a3128884447da7ac2ecb33ffc537,No,,435974,,,,No,435974,,,,,,435974,,,Limited,Yes,,No,,,No,,Uracane,2018-08-03 14:27:42,11.33152,-16.11401
,,,,,,,,Improved,,,kingsley.chris,Final,Fredrik Asplund-6T99YZ030,4704322,Health Centre Type C,Tombali,Bedanda,,,,955442433,,,,,,2016-03-29,0,,,2,,,0,,,0,,,,,,1,,,,,,2,,,,Tubewell / borehole,"Yes, and it works",Solar pump from own waterpoint,4,PEAD,,"Yes, observed","Yes, water comes from at least one tap",6,6,"No, unimproved or no toilets at the facility",,False,,False,,False,,False,,False,,False,,False,No,,False,,False,,False,,False,https://api.mwater.co/v3/images/2892379c904647b9b50a092bb253411a,,,1,1,True,,,,"Yes, but not working",,https://api.mwater.co/v3/images/8276539a31c6422fa0742d4482ebf260,No,,4704322,,,,,4704322,,,,,,4704322,,,No service,No,,No,,,No,,Caboxangue,2018-08-03 14:27:42,11.2804413006419,-15.1201744082209
Limited,,Yes,,,,,,Improved,,,kingsley.chris,Final,Fredrik Asplund-6T99YZ020,4703479,Health Centre Type C,Bafata,Tantam Cosse,,,,966621527,,,,,,2016-03-29,0,,,6,,,0,,,0,,,,,,2,,,,,,0,,,,Protected dug well,No,,,,,No ,No taps inside,,,"No, unimproved or no toilets at the facility",,False,,False,,False,,False,,False,,False,,False,Yes,2,True,2,True,,False,,False,https://api.mwater.co/v3/images/24b8b29a96684026ad4e243c203373cf; https://api.mwater.co/v3/images/0e469aa146ae49068d2ccfef80f924cd,,Yes,0,,False,,,,"Yes, in use",,https://api.mwater.co/v3/images/b0b8d1d6e5f742179de2541d564d165c; https://api.mwater.co/v3/images/92bda96c876343308dd6ac5332c80b50,No,,4703479,,Limited,,Yes,4703479,,,,,,4703479,,,No service,No,,Yes,,,No,,Tantam cosse,2018-08-03 14:27:42,12.252988,-14.540364
Limited,,Yes,,,,,,Improved,,,kingsley.chris,Final,Fredrik Asplund-6T99YZ046,436016,Health Centre Type C,Bijagos,Formosa,,,,966197551,,,,,,2016-03-29,0,,,3,,,0,,,0,,,,,,2,,,,,,0,,,6400297,Protected dug well,"Yes, but it does not work",Electrical pump (Grid/generator) from own waterpoint,1,Cement,,No ,"No, the tap inside does not give water",0,,"Yes, at least one usable improved toilet",2,True,1,True,Yes,True,No,True,No,True,No,True,No,True,No,,False,,False,,True,,True,https://api.mwater.co/v3/images/a635a3ebe7774fd0b914cd5e15240d47; https://api.mwater.co/v3/images/67aae296d4d24d70998387f0a9909d89,,Yes,0,,False,,,,No,,https://api.mwater.co/v3/images/28e404e069684b919115e0a4232511c0,No,,436016,,Limited,,Yes,436016,,,,,,436016,,,Limited,Yes,,No,,,No,,Formosa,2018-08-03 14:27:42,11.4614822538631,-15.9137713909149
Basic,Yes,Yes,Limited,,Unsafe,Unsafe,Basic,Improved,,Water is available on premises,kingsley.chris,Final,Fredrik Asplund-6T99YZ101,4703723,Health Centre Type C,SAB,Cuntum,,,,966878733,955207949,,,,,2016-03-29,0,,,10,,,3,,,1,,,,,,2,,,,,,0,,,,Tubewell / borehole,"Yes, and it works",Electrical pump (Grid/generator) from own waterpoint,0,No Reservoir,On premises,"Yes, observed","Yes, water comes from at least one tap",8,8,"No, improved toilets are present but not usable",1,True,1,True,Yes,True,,True,No,True,No,True,Yes,True,Yes,2,True,2,True,"No, there are no female-only toilets",True,No,True,,Yes,Yes,3,3,True,Bins are present but don't meet all requirements,Open burning,Open burning,No,,,No,,4703723,,Basic,Yes,Yes,4703723,,Limited,,Unsafe,Unsafe,4703723,,,Limited,No,No,Yes,No,,No,,Cuntum,2018-08-03 14:27:42,11.85144,-15.61917
Basic,Yes,Yes,Limited,,Unsafe,Unsafe,Basic,Improved,,Water is available on premises,kingsley.chris,Final,Fredrik Asplund-6T99YZ064,436092,Health Centre Type C,Gabu,Dara,,,,966770084,,,,,,2016-03-29,0,,,3,,,0,,,0,,,,,,1,,,,,,0,,,6372006,Tubewell / borehole,"Yes, and it works",Solar pump from own waterpoint,5,PEAD,On premises,"Yes, observed","Yes, water comes from at least one tap",5,4,"No, unimproved or no toilets at the facility",,False,,False,,False,,False,,False,,False,,False,Yes,2,True,1,True,,False,,False,https://api.mwater.co/v3/images/dac83d015e1d4bcc980293c7ab62f0c1,Yes,Yes,1,1,True,Bins are present but don't meet all requirements,Open burning,Open burning,"Yes, but not working",,https://api.mwater.co/v3/images/6769c81987ea4323b3c9e8b752580f6f,No,,436092,,Basic,Yes,Yes,436092,,Limited,,Unsafe,Unsafe,436092,,,No service,No,,Yes,,,No,,Dara,2018-08-03 14:27:42,12.2751,-14.11745
No service,No,No,Limited,,Safe,Safe,Limited,Improved,,Water is available on premises,kingsley.chris,Final,Fredrik Asplund-6T99YZ109,4703314,Health Centre Type C,Bafata,Geba,,,,955417276,,,,,,2016-03-29,0,,,2,,,0,,,0,,,,,,1,,,,,,0,,,6381394,Tubewell / borehole,"Yes, but it does not work",Electrical pump (Grid/generator) from own waterpoint,3,Cement,On premises,No ,"No, the tap inside does not give water",18,,"No, improved toilets are present but not usable",1,True,0,True,,True,,True,,True,,True,,True,No,,False,,False,"No, there are no female-only toilets",True,No,True,,"No, hand hygiene stations are available but not functional, or lacking materials","No, no handwashing facilities are available",1,0,True,Bins are present but don't meet all requirements,Incinerated (brick incinerator),Incinerated (brick incinerator),"Yes, in use",,,No,,4703314,,No service,No,No,4703314,,Limited,,Safe,Safe,4703314,,,Limited,No,No,No,No,,No,,Geba,2018-08-03 14:27:42,12.160376,-14.76212
Basic,Yes,Yes,Limited,,Safe,Safe,Limited,Improved,,Water is available on premises,kingsley.chris,Final,Fredrik Asplund-6T99YZ090,4703761,Health Centre Type C,Cacheu,Caio,,,,966572543,,,,,,2016-03-29,1,,,3,,,0,,,1,,,,,,2,,,,,,0,,,6385271,Tubewell / borehole,"Yes, but it does not work",Solar pump from own waterpoint,1,Cement,On premises,No ,"No, the tap inside does not give water",23,,"Yes, at least one usable improved toilet",2,True,1,True,No,True,No,True,No,True,No,True,No,True,No,,False,,False,"No, there are no female-only toilets",True,No,True,,Yes,Yes,1,0,True,Bins are present but don't meet all requirements,Incinerated (brick incinerator),Incinerated (brick incinerator),"Yes, in use",,,No,,4703761,,Basic,Yes,Yes,4703761,,Limited,,Safe,Safe,4703761,,,Limited,Yes,No,No,No,,No,,Caio,2018-08-03 14:27:42,11.93028,-16.20036
Limited,,Yes,,,,,,Improved,,,kingsley.chris,Final,Fredrik Asplund-6T99YZ043,4703936,Health Centre Type C,Quinara,Brandao,,,,955527230,955845342,,,,,2016-03-29,0,,,2,,,0,,,0,,,,,,1,,,,,,0,,,,Protected dug well,"Yes, but it does not work",Solar pump from own waterpoint,1,Cement,,No ,"No, the tap inside does not give water",6,,"Yes, at least one usable improved toilet",1,True,1,True,Yes,True,No,True,No,True,No,True,Yes,True,No,,False,,False,,True,,True,https://api.mwater.co/v3/images/7a9baac68aeb4101802d3647680ddbfa,,Yes,0,,False,,,,"Yes, in use",,https://api.mwater.co/v3/images/a5ac0db71d1047a5b6ec09a7bb1c3b92,No,,4703936,,Limited,,Yes,4703936,,,,,,4703936,,,Limited,Yes,,No,,,No,,Djabado-Porto,2018-08-03 14:27:42,11.8904259,-15.3455956
,,No,,,,,,Improved,,,kingsley.chris,Final,Fredrik Asplund-6T99YZ036,4703675,Health Centre Type C,Bolama,Sao-Joao ,,,,966399992,966338316,,,,,2016-03-29,0,,,2,,,0,,,0,,,,,,1,,,,,,0,,,6396420,Tubewell / borehole,No,,,,,No ,No taps inside,,,"No, unimproved or no toilets at the facility",,False,,False,,False,,False,,False,,False,,False,Yes,1,True,1,True,,False,,False,,,"No, no handwashing facilities are available",0,,False,,,,No,,,No,,4703675,,,,No,4703675,,,,,,4703675,,,No service,No,,Yes,,,No,,Ga Tongo,2018-08-03 14:27:42,11.666966,-15.353756
Limited,,Yes,,,,,,Improved,,,kingsley.chris,Final,Fredrik Asplund-6T99YZ010,4703345,Health Centre Type C,Farim,Binta,,,,966741815,,,,,,2016-03-29,0,,,3,,,0,,,0,,,,,,1,,,,,,0,,,6363392,Tubewell / borehole,"Yes, but it does not work",Solar pump from own waterpoint,5,PVC,,No ,"No, the tap inside does not give water",15,,"No, unimproved or no toilets at the facility",,False,,False,,False,,False,,False,,False,,False,Yes,1,True,1,True,,False,,False,https://api.mwater.co/v3/images/613b1e09f2124c619c79634c4d98d104,,Yes,1,0,True,,,,"Yes, in use",,https://api.mwater.co/v3/images/2ad392d4d6a44ca297132b60987cc137,No,,4703345,,Limited,,Yes,4703345,,,,,,4703345,,,No service,No,,Yes,,,No,,Binta,2018-08-03 14:27:42,12.42105,-15.31733
No service,No,No,Limited,,Unsafe,Unsafe,Limited,Improved,,Water is available on premises,kingsley.chris,Final,Fredrik Asplund-6T99YZ106,4703888,Health Centre Type C,Biombo,Ilonde,,,,966209146,,,,,,2016-03-29,0,,,6,,,1,,,0,,,,,,1,,,,,,0,,,6387273,Tubewell / borehole,"Yes, but it does not work",Solar pump from own waterpoint,3,PEAD,On premises,No ,"No, the tap inside does not give water",7,,"No, unimproved or no toilets at the facility",,False,,False,,False,,False,,False,,False,,False,Yes,1,True,1,True,,False,,False,,"No, hand hygiene stations are available but not functional, or lacking materials","No, no handwashing facilities are available",1,0,True,Bins are present but don't meet all requirements,Open burning,Open burning,No,,,No,,4703888,,No service,No,No,4703888,,Limited,,Unsafe,Unsafe,4703888,,,No service,No,,Yes,,,No,,Ilonde,2018-08-03 14:27:42,11.9017,-15.74844
